order_id,user_id,course_id,price,payment_status,sale_date,created_at
ORD_500001,USER_2426,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 00:37:10
ORD_500002,USER_0117,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 01:29:39
ORD_500003,USER_2648,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 04:22:26
ORD_500004,USER_1444,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 05:43:05
ORD_500005,USER_0879,COURSE_DESIGN_04,39000,COMPLETED,2026-01-01,2026-01-01 06:48:02
ORD_500006,USER_2100,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 06:05:03
ORD_500007,USER_2462,COURSE_DATA_03,129000,COMPLETED,2026-01-01,2026-01-01 06:50:17
ORD_500008,USER_3271,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 07:42:37
ORD_500009,USER_3984,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 08:56:12
ORD_500010,USER_0638,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 08:45:45
ORD_500011,USER_2256,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 08:50:39
ORD_500012,USER_1732,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 10:33:19
ORD_500013,USER_1851,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 10:31:59
ORD_500014,USER_2830,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 10:39:54
ORD_500015,USER_0475,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 10:53:33
ORD_500016,USER_0495,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 10:30:35
ORD_500017,USER_3694,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 11:10:44
ORD_500018,USER_4895,COURSE_DATA_03,129000,COMPLETED,2026-01-01,2026-01-01 11:59:25
ORD_500019,USER_1478,COURSE_DATA_03,129000,COMPLETED,2026-01-01,2026-01-01 11:24:45
ORD_500020,USER_2280,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 11:15:30
ORD_500021,USER_4706,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 11:39:14
ORD_500022,USER_4970,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 12:41:23
ORD_500023,USER_0176,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 12:21:47
ORD_500024,USER_4394,COURSE_DESIGN_04,39000,COMPLETED,2026-01-01,2026-01-01 12:13:51
ORD_500025,USER_1757,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 12:06:33
ORD_500026,USER_0146,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 12:44:27
ORD_500027,USER_3855,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 13:36:49
ORD_500028,USER_4073,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 13:23:42
ORD_500029,USER_2446,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 14:39:50
ORD_500030,USER_1602,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 14:39:21
ORD_500031,USER_2277,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 14:22:43
ORD_500032,USER_3997,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 14:15:43
ORD_500033,USER_4525,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 15:01:02
ORD_500034,USER_3431,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 15:53:26
ORD_500035,USER_2714,COURSE_DATA_03,129000,COMPLETED,2026-01-01,2026-01-01 15:01:12
ORD_500036,USER_3923,COURSE_DATA_03,129000,COMPLETED,2026-01-01,2026-01-01 16:39:20
ORD_500037,USER_0125,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 16:30:28
ORD_500038,USER_4620,COURSE_DESIGN_04,39000,COMPLETED,2026-01-01,2026-01-01 16:37:52
ORD_500039,USER_1272,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 16:09:37
ORD_500040,USER_4885,COURSE_DESIGN_04,39000,COMPLETED,2026-01-01,2026-01-01 16:01:26
ORD_500041,USER_3288,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 17:20:36
ORD_500042,USER_0700,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 17:44:28
ORD_500043,USER_1167,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 17:14:38
ORD_500044,USER_0022,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 17:52:18
ORD_500045,USER_2012,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 17:04:51
ORD_500046,USER_0261,COURSE_DATA_03,129000,COMPLETED,2026-01-01,2026-01-01 18:42:20
ORD_500047,USER_1493,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 18:47:45
ORD_500048,USER_2608,COURSE_DATA_03,129000,COMPLETED,2026-01-01,2026-01-01 18:32:19
ORD_500049,USER_3057,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 18:27:09
ORD_500050,USER_1697,COURSE_DATA_03,129000,CANCELLED,2026-01-01,2026-01-01 18:45:21
ORD_500051,USER_0237,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 18:12:37
ORD_500052,USER_3381,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 18:13:27
ORD_500053,USER_3341,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 18:08:20
ORD_500054,USER_0549,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 18:59:59
ORD_500055,USER_3230,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 18:08:46
ORD_500056,USER_3711,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 18:55:24
ORD_500057,USER_1441,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 19:21:47
ORD_500058,USER_4104,COURSE_DATA_03,129000,COMPLETED,2026-01-01,2026-01-01 19:38:27
ORD_500059,USER_2337,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 19:55:54
ORD_500060,USER_3944,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 19:03:38
ORD_500061,USER_0182,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 19:43:04
ORD_500062,USER_1585,COURSE_CODING_02,59000,COMPLETED,2026-01-01,2026-01-01 19:12:43
ORD_500063,USER_3658,COURSE_MIGYUNG_01,99000,COMPLETED,2026-01-01,2026-01-01 19:19:03
